ordered_time,vendor,total_prices,item_detail
3月13日,三商鮮五丼 (4843台北民權店),275,"2x 牛丼飯套餐,1x 牛蒡絲"
3月13日,Burger King 漢堡王 (台北長春店),290,2x 水牛城單層烤腿堡餐
3月12日,樂雅樂 (台北敦化店),413,"1x 紅酒蕃茄牛肉便當(附味噌湯),1x 紅酒蕃茄牛肉便當(附味噌湯)"
3月11日,郁日式炸豬排,442,"2x 起司花生,1x 鹽味香蔥玉子燒"
3月10日,三商鮮五丼 (4843台北民權店),405,2x 麻婆雙蝦菲力豬排丼
3月9日,元爵味黃燜雞米飯 (台北廈門店),457,"1x 酸湯豬,1x 酸湯豬"
3月7日,川麻子,302,"1x 5號餐麻辣臭豆腐鴨血煲,1x 5號餐麻辣臭豆腐鴨血煲"
3月6日,樂雅樂 (台北敦化店),305,2x 紅酒蕃茄牛肉便當(附味噌湯)
3月6日,Burger King 漢堡王 (台北欣欣店),451,"1x 水牛城重磅雙層牛堡餐,1x 水牛城重磅雙層牛堡餐"
3月4日,郁日式炸豬排,442,"1x 大阪柴魚玉子燒,2x 起司花生"
3月3日,黑龍越南法國麵包 (忠孝復興店),276,2x 黑龍麵包
3月2日,好想見麵 (台北民權店),248,"2x 香辣麻婆丼飯,1x 蕃茄湯餃"
2月28日,拉亞漢堡 (北市農安店),330,"1x 天空抹茶炸雞堡組,1x 天空抹茶炸雞堡組"
2月27日,樂雅樂 (台北敦化店),305,2x 紅酒蕃茄牛肉便當(附味噌湯)
2月26日,三商鮮五丼 (4843台北民權店),405,2x 麻婆雙蝦菲力豬排丼
2月25日,元爵味黃燜雞米飯 (台北廈門店),427,2x 酸湯豬
2月24日,蒸の不一樣,265,"1x 香菜鮮肉蒸餃,1x 絲瓜鮮肉蒸餃,1x 玉米火腿蒸餃"
2月23日,嘉義雞肉飯(雙城夜市),417,"1x 魯肉飯套餐,1x 焢肉飯套餐"
2月22日,女王漢堡,496,2x 女王漢堡套餐
2月21日,郁日式炸豬排,356,2x 起司花生
2月20日,樂雅樂 (台北敦化店),296,"2x 壽喜燒牛肉便當(附味噌湯),1x 山型麵包"
2月19日,Pizza Hut必勝客 (台北吉林外送店),378,1x 小比薩買一送一
2月18日,12MINI (台北民權東龍江店)*,445,"1x 泰式酸辣鍋 Thai Sour and Spicy Pot,1x 泰式酸辣鍋 Thai Sour and Spicy Pot"
2月17日,樂雅樂 (台北敦化店),384,2x 薑汁燒肉便當(附味噌湯)
2月16日,郁日式炸豬排,341,"1x 親子丼,1x 起司花生"
2月15日,北倉洞韓式料理,478,"1x 韓式豬肉豆腐鍋,1x 韓式牛肉豆腐鍋"
2月14日,吉野家 Yoshinoya (台北吉林店),246,"1x 鮮蔥牛丼(中) X2,1x 鮮燙高麗菜 X2"
2月13日,拉亞漢堡 (北市農安店),327,2x 森永牛奶糖奶茶組
2月12日,SUBWAY (民權龍江店),278,"1x 套餐-6吋香烤雞肉潛艇堡 6-Inch Roasted Chicken Breast Sub,1x 套餐-6吋墨西哥辣牛潛艇堡 6-Inch Taco Beef Sub"
2月11日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
2月10日,麥當勞 (S117 台北民權二店),419,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
2月9日,麵匡匡 (台北林森店),286,"1x 鹹蛋黃金沙拉麵,1x 豆香醬油拉麵"
2月8日,女王漢堡,410,"1x 天王漢堡套餐,1x 天王漢堡套餐"
2月6日,樂雅樂 (台北敦化店),305,2x 紅酒蕃茄牛肉便當(附味噌湯)
2月3日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
2月2日,Delizioso 義式廚房 (中山松江店),302,"1x 番茄紅醬嫩雞義大利麵,1x 羅勒青醬嫩雞義大利麵"
1月28日,潮味決．湯滷專門店 (台北農安分社),368,"1x 肉食系5盎司套餐,1x 肉食系5盎司套餐"
1月27日,統一超商 (吉安店),227,"1x (加熱出貨) 熱那亞羅勒義大利麵 392g,1x (加熱出貨) S-法式烤雞佐牛肝菌燉飯 434g #25418378,1x (加熱出貨)(蔬)輕滷時蔬 192g"
1月16日,樂雅樂 (台北敦化店),397,"2x 紅酒蕃茄牛肉便當(附味噌湯),1x 培根炒時蔬"
1月16日,拉亞漢堡 (北市農安店),327,2x 森永牛奶糖奶茶組
1月6日,郁日式炸豬排,356,2x 起司花生
1月4日,豪餃子,338,"1x 韓式泡菜冰花鍋貼,1x 酸辣湯餃,1x 玉米冰花鍋貼"
1月2日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
1月1日,麥當勞 (S117 台北民權二店),472,"1x 套餐-BLT 嫩煎鷄腿堡 BLT Grilled Chicken Burger Meal,1x 套餐-BLT 安格斯牛肉堡 BLT Angus Beef Burger Meal"
1月1日,Louisa 路易莎 (松江農安店),224,"2x 義式里肌豬風味三明治,1x 抹茶知心雙色乳酪貝果"
12月30日,蒸の不一樣,332,"1x 香菜鮮肉蒸餃,1x 韓式泡菜蒸餃,1x 酸辣湯"
12月28日,統一超商 (吉安店),209,"1x (加熱出貨)(蔬)輕滷時蔬 192g,1x 福樂鮮攪草莓奶茶 | 375ml,1x (加熱出貨)(吊)御料小館韓風洋釀炸雞 85g"
12月26日,肯德基KFC漢堡(紙包雞飯)專賣店 (台北南京東三店),243,"1x 花生熔岩咔啦雞腿漢堡 L 套餐,1x 青花椒香麻咔啦雞腿漢堡 XL 套餐,1x 冰奶茶買一送一"
12月25日,嚮辣 (台北松江店)*,400,"1x 向辣麻辣即享鍋,1x 蒜香老母雞湯即享鍋"
12月24日,(極)黃燜雞米飯 (台北寧夏店),437,"1x 川香麻辣肥腸,1x 酸湯豬"
12月23日,麥當勞 (S117 台北民權二店),492,"1x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal,1x 套餐-蕈菇主廚鷄腿堡 Mushroom Crispy Chicken Burger Meal"
12月22日,女王漢堡,446,2x 女王漢堡套餐
12月21日,豪餃子,277,"1x 韓式泡菜冰花鍋貼,1x 韭菜五行水餃,1x 鮮蝦酸辣水餃"
12月16日,12MINI (台北民權東龍江店)*,476,"1x 泰式酸辣鍋 Thai Sour and Spicy Pot,1x 一口酥油條2份 Mini Crispy Bread Stick,1x 泰式酸辣鍋 Thai Sour and Spicy Pot"
12月15日,甘泉魚麵 (台北錦州店),315,"1x 東北酸菜白肉麵,1x 釜山泡菜炙麵(牛)"
12月10日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
12月8日,12MINI (台北民權東龍江店)*,321,"1x 泰式酸辣鍋 Thai Sour and Spicy Pot,1x 大漠孜然鍋 Cumin Pot"
12月6日,北倉洞韓式料理,398,"1x 韓式豬肉豆腐鍋,1x 韓式牛肉豆腐鍋"
12月4日,肯德基KFC炸雞漢堡店 (台北南京東三店),297,2x 青花椒香麻咔啦雞腿漢堡 L 套餐
12月3日,饌味香鍋貼麵食館 (大安忠孝店),312,"1x 宜蘭韭菜鍋貼,1x 韓式泡菜鍋,1x 招牌水餃"
12月1日,郁日式炸豬排,422,"1x 蔥鹽里肌,1x 起司花生,1x 日式炸薯條"
11月28日,拉亞漢堡 (北市農安店),327,2x 森永牛奶糖奶茶組
11月27日,三商鮮五丼 (4843台北民權店),310,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼,1x 胡麻花椰菜"
11月26日,(極)黃燜雞米飯 (台北寧夏店),437,"1x 酸湯豬,1x 川香麻辣肥腸"
11月25日,麥當勞 (S117 台北民權二店),482,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
於 11月23日,珠麗月比薩屋,482,"1x 七小福及海鮮比薩,1x 皇家及德式咖哩比薩,1x 玉米濃湯"
11月21日,三商鮮五丼 (台北南京店 4801),211,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼"
11月20日,三商巧福 (4119民權二店),312,"1x 番茄牛肉麵套餐,1x 牛肉炸醬麵套餐"
11月16日,麥當勞 (S117 台北民權二店),460,2x 套餐-蕈菇安格斯牛肉堡 Mushroom Angus Beef Burger Meal
11月14日,三商鮮五丼 (4843台北民權店),290,"1x 牛丼飯套餐,1x 麻婆雙蝦菲力豬排丼,1x 胡麻花椰菜"
11月13日,樂雅樂 (台北敦化店),385,"2x 紅酒蕃茄牛肉便當(附味噌湯),1x 培根炒時蔬"
11月13日,拉亞漢堡 (北市農安店),326,"1x 森永牛奶糖奶茶組,1x 森永牛奶糖奶茶組"
11月12日,蒸の不一樣,262,"1x 絲瓜鮮肉蒸餃,1x 香菜鮮肉蒸餃,1x 酸辣湯"
11月11日,金菊雞肉飯 (台北合江店),371,"1x 【雙倍肉量】海南雞腿肉飯便當,1x 泰式海南雞腿肉飯便當"
11月8日,張記烙餅舖,262,"1x 鮪魚+肉鬆烙餅,1x 培根+起司烙餅,1x 打抛豬肉蛋烙餅"
